active_ingredient,crop,target,pesticide_class,dosage_text,phi_days,reentry_hours,source,last_verified
Isoprothiolan 40% EC,paddy,blast,fungicide,"300 g a.i./ha (750 ml formulation/ha), spray in 500-1000 L water/ha",60,24,"PPQS primary package label (ppqs.gov.in/sites/default/files/isoprothiolane_40_ec93frallis_india_limited_1.pdf) states 'Re-entry Period: 24 hours after spraying' for Rice/Blast; dose and PHI cross-checked against CIB&RC Major Uses of Pesticides - Fungicides (DPPQS, as on 30.09.2012)",2026-08-31
Kasugamycin 3% SL,paddy,blast,fungicide,"30-50 g a.i./ha (1000-1500 ml formulation/ha), spray in 750-1000 L water/ha",30,,"CIB&RC Major Uses of Pesticides - Fungicides (DPPQS, as on 30.09.2012); Rice/Blast, PHI 30 days. Re-entry period not stated in accessible CIB&RC major-use or label material.",2026-08-31
Ediphenphos 50% EC,paddy,blast,fungicide,"250-300 g a.i./ha (500-600 ml formulation/ha), spray in 750-1000 L water/ha",21,,"CIB&RC Major Uses of Pesticides - Fungicides (DPPQS, as on 30.09.2012); Paddy/Blast, PHI 21 days. Re-entry period not stated in accessible CIB&RC major-use or label material.",2026-08-31
Imidacloprid 17.8% SL,paddy,brown_planthopper,insecticide,"20-25 g a.i./ha (100-125 ml formulation/ha), spray in 500-700 L water/ha",40,,"CIB&RC Major Uses of Pesticides - Insecticides (DPPQS, as on 30.09.2012); Paddy/BPH,WBPH,GLH, PHI 40 days. Re-entry period not stated in accessible current label material.",2026-08-31
Acetamiprid 20% SP,paddy,brown_planthopper,insecticide,"10-20 g a.i./ha (50-100 g formulation/ha), spray in 500-600 L water/ha",7,,"CIB&RC Major Uses of Pesticides - Insecticides (DPPQS, as on 30.09.2012); Rice/BPH, PHI 7 days. No India-specific approved-label re-entry period located.",2026-08-31
Fipronil 0.3% GR,paddy,brown_planthopper,insecticide,"50-75 g a.i./ha (16670-25000 g granules/ha), broadcast - granular, no dilution",32,,"PPQS label (raccolto.in/wp-content/uploads/2022/03/Fipronil-0.3-G.R.pdf); Rice pest complex incl. BPH, PHI 32 days. Label's 'Re-entry after each Application' field is blank.",2026-08-31
Acephate 75% SP,paddy,brown_planthopper,insecticide,"500-750 g a.i./ha (666-1000 g formulation/ha), spray in 300-500 L water/ha",15,,"CIB&RC Major Uses of Pesticides - Insecticides (DPPQS, as on 30.09.2012); Paddy stem borer/leaf folder/plant hoppers/GLH, PHI 15 days. No India-specific approved-label re-entry period located.",2026-08-31
Chlorantraniliprole 18.5% SC,paddy,yellow_stem_borer,insecticide,"30 g a.i./ha (150 ml formulation/ha), spray in 500 L water/ha",47,24,"PPQS primary package label (ppqs.gov.in/sites/default/files/chlorantraniliprole_18.5_sc93ffmc_india_private_limited_1.pdf) states 'Re-entry Period: 24 Hrs' for Rice/Stem borer + Leaf folder; dose and PHI cross-checked against CIB&RC Major Uses of Pesticides - Insecticides (DPPQS, as on 30.09.2012)",2026-08-31
Fipronil 0.3% GR,paddy,yellow_stem_borer,insecticide,"50-75 g a.i./ha (16670-25000 g granules/ha), broadcast - granular, no dilution",32,,"Same PPQS label as the brown_planthopper Fipronil 0.3% GR row (raccolto.in/wp-content/uploads/2022/03/Fipronil-0.3-G.R.pdf); Rice PHI 32 days, re-entry field blank on label.",2026-08-31
Acephate 75% SP,paddy,yellow_stem_borer,insecticide,"500-750 g a.i./ha (666-1000 g formulation/ha), spray in 300-500 L water/ha",15,,"CIB&RC Major Uses of Pesticides - Insecticides (DPPQS, as on 30.09.2012); Paddy stem borer/leaf folder/plant hoppers/GLH, PHI 15 days. No India-specific approved-label re-entry period located.",2026-08-31
